Qty,Qty to buy,Value,Device,Package,Parts,Distributor
1,0,,DIODE-SOD523,SOD523,D9,
1,0,,DUOLED-RG-A,DUOLED-A-5MM,LD1,
1,0,,LEDCHIP-LED0805,CHIP-LED0805,LED1,
2,0,,M08LONGPADS,1X08_LONGPADS,JP1 JP2,
2,0,,MA03-1,MA03-1,SV4 SV5,
1,0,,MA05-1,MA05-1,SV1,
1,0,,MSTBV2,MSTBV2,BATT,
1,0,,SMDTOP-8,SMDTOP8,PNEUMATIC,
2,0,100n,C-USC0805,C0805,C11 C12,
7,0,100nF,C-EUC0805,C0805,C4 C5 C6 C7 C15 C16,
1,0,10K,R-US_R0805,R0805,R18,
3,0,10k,R-US_R0805,R0805,R6 R7 R19,
1,0,130K,R-US_R0805,R0805,R13,
1,0,13K,R-US_R0805,R0805,R12,
2,0,1K,R-US_R0805,R0805,R14 R15,
3,0,2.2K,R-US_R0805,R0805,R16 R17 R20,
1,0,2.2k,R-US_R0805,R0805,R1,
1,0,100uF,CPOL-USE2.5-7,E25-7,C10,
1,0,22K,R-US_R0805,R0805,R9,
1,0,360R,R-US_R0805,R0805,R8,
3,0,470,R-US_R0805,R0805,R2 R3 R4,
1,0,470 ohm,R-US_R0805,R0805,R5,
1,0,47K,R-US_R0805,R0805,R10,
1,0,51K,R-US_R0805,R0805,R11,
1,0,BC847,BC847,SOT23,T1,
1,0,LM293AD,LM293AD,SOIC127P600X175-8N,U8,
1,1,,SMDTOP-12,SMDTOP12,TOIT,MOUSER 571-1-215083-2 FARNELL 2473361
1,1,,STM32F301C8,TQFP48,U$1,MOUSER 511-STM32F301C8T6
1,1,100uF,CPOL-USE3.5-8,E35-8,C9,FARNELL 1219478
2,2,4.7uF,C-EUC0805,C0805,C13 C3,FARNELL 1759420
1,1,REGUL_PTH,REGUL_PTH,REGUL_PTH,U$2,FARNELL 2383158
1,1,SWD/JTAG-_PINS,SWD/JTAG-_PINS,SAMTEC_SHF-105-01-L-D-SM,U$3,FARNELL 1885915
1,1,NCP1117,NCP1117,SOT223,IC1,MOUSER 863-NCP1117LPST33T3G 
2,2,5267-3,5267-3,5267-3,AX12 AX12-2,FARNELL 9979620
3,3,,SMDTOP-6,SMDTOP6,X1 X4 X5,FARNELL 2473376 FARNELL 2473358
3,3,10uF,C-EUC0805,C0805,C1 C2 C8,FARNELL 2320856
5,5,,DIODE-SOD323-R,SOD323-R,D1 D2 D3 D6 D7,FARNELL 2528898
8,8,TSM2306CX,TSM2306CX,SOT95P280X130-3N,U1 U2 U3 U4 U5 U6 U7 U9,FARNELL 1864577 (remplacé par 2473358 )
